file_name,segment_or_group,id,parent,relname,type,text
GUM_conversation_christmas,segment,1,242,span,,That 's to Judy .
GUM_conversation_christmas,segment,2,248,span,,You probably have one like it already .
GUM_conversation_christmas,segment,3,249,restatement-repetition,,I do n't know .
GUM_conversation_christmas,segment,4,249,restatement-repetition,,I do n't know .
GUM_conversation_christmas,segment,5,250,organization-phatic,,"They show the uh – ,"
GUM_conversation_christmas,segment,6,250,joint-list,,"some are l- lent ,"
GUM_conversation_christmas,segment,7,8,organization-phatic,,and some are —
GUM_conversation_christmas,segment,8,253,span,,are gifts .
GUM_conversation_christmas,segment,9,253,elaboration-additional,,To a museum .
GUM_conversation_christmas,segment,10,255,restatement-repetition,,Oh .
GUM_conversation_christmas,segment,11,255,restatement-repetition,,Oh yeah .
GUM_conversation_christmas,segment,12,258,span,,Back here it tells you .
GUM_conversation_christmas,segment,13,12,organization-phatic,,Mhm .
GUM_conversation_christmas,segment,14,256,span,,Where they came from .
GUM_conversation_christmas,segment,15,16,organization-phatic,,Oh Mom .
GUM_conversation_christmas,segment,16,259,span,,"Oh no , I do n't have this one ."
GUM_conversation_christmas,segment,17,18,organization-phatic,,Oh good .
GUM_conversation_christmas,segment,18,260,span,,Joseph Campbell ?
GUM_conversation_christmas,segment,19,20,organization-phatic,,Mhm .
GUM_conversation_christmas,segment,20,264,span,,Oh yeah .
GUM_conversation_christmas,segment,21,265,joint-list,,Oh this 'll be great .
GUM_conversation_christmas,segment,22,266,span,,"He 's wonderful , hunh ."
GUM_conversation_christmas,segment,23,267,organization-phatic,,"I mean ,"
GUM_conversation_christmas,segment,24,25,organization-phatic,,he –
GUM_conversation_christmas,segment,25,267,span,,he 's dead now .
GUM_conversation_christmas,segment,26,27,organization-phatic,,Yeah .
GUM_conversation_christmas,segment,27,270,span,,He died .
GUM_conversation_christmas,segment,28,29,evaluation-comment,,"Oh , this is great ."
GUM_conversation_christmas,segment,29,271,span,,Joseph Campbell .
GUM_conversation_christmas,segment,30,272,topic-question,,I 'm just interested in when did she get that .
GUM_conversation_christmas,segment,31,278,span,,"Oh I got lot of these presents ,"
GUM_conversation_christmas,segment,32,31,organization-phatic,,"you know ,"
GUM_conversation_christmas,segment,33,272,same-unit,,just along the way .
GUM_conversation_christmas,segment,34,273,organization-phatic,,Yeah .
GUM_conversation_christmas,segment,35,274,restatement-partial,,That 's — on the way .
GUM_conversation_christmas,segment,36,279,span,,Cause I do n't wait till Christmas
GUM_conversation_christmas,segment,37,36,purpose-goal,,to buy everything .
GUM_conversation_christmas,segment,38,280,span,,There are there are mysteries in this house
GUM_conversation_christmas,segment,39,38,elaboration-attribute,,that I 'm not even aware of .
GUM_conversation_christmas,segment,40,281,joint-list,,Okay .
GUM_conversation_christmas,segment,41,281,joint-list,,Well –
GUM_conversation_christmas,segment,42,282,span,,Open this one .
GUM_conversation_christmas,segment,43,42,elaboration-additional,,From the gel- uh the elves .
GUM_conversation_christmas,segment,44,285,topic-question,,"Oh , to Dan ?"
GUM_conversation_christmas,segment,45,46,organization-preparation,,Sa- me too .
GUM_conversation_christmas,segment,46,285,span,,To Dan from Santa .
GUM_conversation_christmas,segment,47,287,joint-list,,Mhm .
GUM_conversation_christmas,segment,48,287,joint-list,,Oh .
GUM_conversation_christmas,segment,49,288,span,,"And this one is , to Dad , From Judy ."
GUM_conversation_christmas,segment,50,51,organization-phatic,,Oh .
GUM_conversation_christmas,segment,51,291,span,,Guess what that is !
GUM_conversation_christmas,segment,52,292,restatement-repetition,,"Oh , guess what !"
GUM_conversation_christmas,segment,53,293,span,,That is Dad .
GUM_conversation_christmas,segment,54,295,joint-list,,Oh .
GUM_conversation_christmas,segment,55,295,joint-list,,Okay .
GUM_conversation_christmas,segment,56,296,restatement-repetition,,Look up .
GUM_conversation_christmas,segment,57,296,restatement-repetition,,Look up babe .
GUM_conversation_christmas,segment,58,297,joint-list,,Wait .
GUM_conversation_christmas,segment,59,60,topic-solutionhood,,I would 've had trouble figuring out what this one is .
GUM_conversation_christmas,segment,60,298,span,,There we go .
GUM_conversation_christmas,segment,61,300,joint-list,,Okay .
GUM_conversation_christmas,segment,62,300,joint-list,,Now it — shall we wait to uh —
GUM_conversation_christmas,segment,63,301,restatement-repetition,,Wait .
GUM_conversation_christmas,segment,64,301,restatement-repetition,,Wait .
GUM_conversation_christmas,segment,65,303,span,,There 's another one for Dad down there .
GUM_conversation_christmas,segment,66,65,elaboration-additional,,That red one .
GUM_conversation_christmas,segment,67,307,joint-list,,Oh .
GUM_conversation_christmas,segment,68,307,joint-list,,Yeah .
GUM_conversation_christmas,segment,69,308,span,,"Oh Dad , from Judy ."
GUM_conversation_christmas,segment,70,309,joint-list,,Oh wow .
GUM_conversation_christmas,segment,71,309,joint-list,,"Oh , alright ."
GUM_conversation_christmas,segment,72,310,span,,Just what you 've always needed .
GUM_conversation_christmas,segment,73,313,explanation-justify,,You must 've seen my other one .
GUM_conversation_christmas,segment,74,313,joint-list,,"My other one is tearing ,"
GUM_conversation_christmas,segment,75,313,joint-list,,and falling apart .
GUM_conversation_christmas,segment,76,314,organization-phatic,,Oh yeah ?
GUM_conversation_christmas,segment,77,317,joint-disjunction,,I 've only had it for at least twelve years .
GUM_conversation_christmas,segment,78,318,span,,Probably more .
GUM_conversation_christmas,segment,79,78,elaboration-additional,,Probably more like fifteen years .
GUM_conversation_christmas,segment,80,319,span,,Good .
GUM_conversation_christmas,segment,81,80,explanation-evidence,,I 'm gon na go transfer the keys into this one .
GUM_conversation_christmas,segment,82,320,joint-list,,Oh great .
GUM_conversation_christmas,segment,83,320,joint-list,,"Oh , this is good ."
GUM_conversation_christmas,segment,84,321,span,,"Look , it 's a bread baking pan ."
GUM_conversation_christmas,segment,85,321,organization-phatic,,Oh alright .
GUM_conversation_christmas,segment,86,322,evaluation-comment,,Yeah this is — this is great .
GUM_conversation_christmas,segment,87,327,joint-other,,"Now , That 's from Mrs. Santa ."
GUM_conversation_christmas,segment,88,327,joint-other,,You can bake bread in that .
GUM_conversation_christmas,segment,89,324,evaluation-comment,,"Oh , this is great ."
GUM_conversation_christmas,segment,90,328,span,,Stainless steel ?
GUM_conversation_christmas,segment,91,90,organization-phatic,,Hmm ?
GUM_conversation_christmas,segment,92,329,span,,Yep .
GUM_conversation_christmas,segment,93,94,organization-phatic,,Stai- –
GUM_conversation_christmas,segment,94,331,span,,"Stainless , unhunh ."
GUM_conversation_christmas,segment,95,332,joint-list,,Oh .
GUM_conversation_christmas,segment,96,332,joint-list,,Well ?
GUM_conversation_christmas,segment,97,333,span,,You 'd better wear it too .
GUM_conversation_christmas,segment,98,333,evaluation-comment,,Uh-oh .
GUM_conversation_christmas,segment,99,335,restatement-repetition,,You 'd better wear it .
GUM_conversation_christmas,segment,100,344,span,,Gosh .
GUM_conversation_christmas,segment,101,100,organization-phatic,,Hmm ?
GUM_conversation_christmas,segment,102,345,joint-list,,Look at this .
GUM_conversation_christmas,segment,103,345,joint-list,,Oh wow .
GUM_conversation_christmas,segment,104,105,contingency-condition,,"If you do n't ,"
GUM_conversation_christmas,segment,105,346,span,,I will .
GUM_conversation_christmas,segment,106,338,span,,"Yeah , now that I can wear ."
GUM_conversation_christmas,segment,107,108,topic-question,,Will you ?
GUM_conversation_christmas,segment,108,347,span,,Yeah .
GUM_conversation_christmas,segment,109,110,causal-cause,,Cause I know
GUM_conversation_christmas,segment,110,348,span,,you do n't wear sweatshirts .
GUM_conversation_christmas,segment,111,350,span,,She 's been saying for months
GUM_conversation_christmas,segment,112,111,elaboration-additional,,that you would never wear it .
GUM_conversation_christmas,segment,113,351,contingency-condition,,If he does n't —
GUM_conversation_christmas,segment,114,115,organization-phatic,,I 'll —
GUM_conversation_christmas,segment,115,351,span,,I will .
GUM_conversation_christmas,segment,116,353,span,,I 'll at least wear it once .
GUM_conversation_christmas,segment,117,353,context-background,,I hope you like yellow .
GUM_conversation_christmas,segment,118,359,span,,I have one the same .
GUM_conversation_christmas,segment,119,360,topic-question,,You do ?
GUM_conversation_christmas,segment,120,362,span,,I — I shrunk it down already .
GUM_conversation_christmas,segment,121,120,organization-phatic,,Yeah .
GUM_conversation_christmas,segment,122,363,span,,Cause it was really huge .
GUM_conversation_christmas,segment,123,122,context-circumstance,,When I bought it .
GUM_conversation_christmas,segment,124,125,attribution-positive,,"But , I thought"
GUM_conversation_christmas,segment,125,364,span,,that 's the largest size they have .
GUM_conversation_christmas,segment,126,127,organization-phatic,,So .
GUM_conversation_christmas,segment,127,365,span,,That 's big enough .
GUM_conversation_christmas,segment,128,129,organization-preparation,,Wow look at this !
GUM_conversation_christmas,segment,129,369,span,,That big enough ?
GUM_conversation_christmas,segment,130,370,span,,Yeah .
GUM_conversation_christmas,segment,131,368,joint-other,,Thank you very much .
GUM_conversation_christmas,segment,132,133,organization-phatic,,Yeah .
GUM_conversation_christmas,segment,133,371,span,,It 'll keep you warm .
GUM_conversation_christmas,segment,134,372,joint-list,,Looks good on you .
GUM_conversation_christmas,segment,135,373,span,,There might be a little conflict of interest .
GUM_conversation_christmas,segment,136,135,organization-phatic,,Mhm .
GUM_conversation_christmas,segment,137,373,elaboration-additional,,That it does n't say Stanford over here .
GUM_conversation_christmas,segment,138,139,organization-phatic,,But the —
GUM_conversation_christmas,segment,139,376,span,,"Aw , so what ."
GUM_conversation_christmas,segment,140,377,joint-other,,That 's great .
GUM_conversation_christmas,segment,141,142,organization-phatic,,Oh .
GUM_conversation_christmas,segment,142,378,span,,Thanks Judy .
GUM_conversation_christmas,segment,143,144,organization-phatic,,Oh that 's —
GUM_conversation_christmas,segment,144,380,span,,Well thanks for this .
GUM_conversation_christmas,segment,145,146,organization-phatic,,This is —
GUM_conversation_christmas,segment,146,381,span,,"Oh , you needed that , huh ?"
GUM_conversation_christmas,segment,147,382,span,,Yeah .
GUM_conversation_christmas,segment,148,382,elaboration-additional,,I 'll make good use of this .
GUM_conversation_christmas,segment,149,150,organization-phatic,,Mm .
GUM_conversation_christmas,segment,150,384,span,,Okay .
GUM_conversation_christmas,segment,151,152,organization-phatic,,Mm .
GUM_conversation_christmas,segment,152,390,span,,Okay now .
GUM_conversation_christmas,segment,153,386,span,,Now what .
